T Cv
0.914652 1.500449
0.913737 1.500491
0.912823 1.500516
0.911910 1.500512
0.910998 1.500501
0.910087 1.500506
0.909177 1.500523
0.908268 1.500504
0.907360 1.500506
0.906453 1.500496
0.905546 1.500497
0.904641 1.500511
0.903736 1.500492
0.902832 1.500460
0.901929 1.500476
0.901027 1.500502
0.900126 1.500481
0.899226 1.500460
0.898327 1.500499
0.897429 1.500512
0.896531 1.500476
0.895635 1.500452
0.894739 1.500475
0.893844 1.500504
0.892951 1.500488
0.892058 1.500459
0.891166 1.500466
0.890274 1.500477
0.889384 1.500486
0.888495 1.500506
0.887606 1.500490
0.886719 1.500441
0.885832 1.500401
0.884946 1.500418
0.884061 1.500442
0.883177 1.500476
0.882294 1.500504
0.881412 1.500501
0.880530 1.500489
0.879650 1.500461
0.878770 1.500438
0.877891 1.500459
0.877013 1.500491
0.876136 1.500472
0.875260 1.500437
0.874385 1.500436
0.873511 1.500472
0.872637 1.500491
0.871764 1.500511
0.870893 1.500498
0.870022 1.500513
0.869152 1.500533
0.868283 1.500513
0.867414 1.500474
0.866547 1.500454
0.865680 1.500471
0.864815 1.500490
0.863950 1.500501
0.863086 1.500491
0.862223 1.500482
0.861361 1.500458
0.860499 1.500417
0.859639 1.500413
0.858779 1.500435
0.857920 1.500443
0.857062 1.500437
0.856205 1.500433
0.855349 1.500424
0.854494 1.500428
0.853639 1.500459
0.852786 1.500486
0.851933 1.500470
0.851081 1.500456
0.850230 1.500472
0.849380 1.500486
0.848530 1.500463
0.847682 1.500462
0.846834 1.500476
0.845987 1.500460
0.845141 1.500436
0.844296 1.500428
0.843452 1.500424
0.842608 1.500425
0.841766 1.500444
0.840924 1.500457
0.840083 1.500481
0.839243 1.500526
0.838404 1.500536
0.837565 1.500505
0.836728 1.500519
0.835891 1.500583
0.835055 1.500616
0.834220 1.500579
0.833386 1.500519
0.832552 1.500507
0.831720 1.500497
0.830888 1.500458
0.830057 1.500464
0.829227 1.500502
0.828398 1.500504
0.827570 1.500487
0.826742 1.500479
0.825915 1.500491
0.825089 1.500489
0.824264 1.500459
0.823440 1.500453
0.822617 1.500480
0.821794 1.500508
0.820972 1.500494
0.820151 1.500456
0.819331 1.500447
0.818512 1.500466
0.817693 1.500468
0.816875 1.500459
0.816059 1.500448
0.815243 1.500456
0.814427 1.500476
0.813613 1.500492
0.812799 1.500493
0.811986 1.500483
0.811174 1.500491
0.810363 1.500542
0.809553 1.500545
0.808743 1.500528
0.807935 1.500520
0.807127 1.500512
0.806320 1.500516
0.805513 1.500511
0.804708 1.500507
0.803903 1.500510
0.803099 1.500505
0.802296 1.500505
0.801494 1.500501
0.800692 1.500497
0.799892 1.500499
0.799092 1.500506
0.798293 1.500488
0.797494 1.500480
0.796697 1.500495
0.795900 1.500507
0.795104 1.500518
0.794309 1.500517
0.793515 1.500498
0.792721 1.500474
0.791929 1.500468
0.791137 1.500480
0.790345 1.500497
0.789555 1.500502
0.788766 1.500498
0.787977 1.500485
0.787189 1.500454
0.786402 1.500444
0.785615 1.500493
0.784830 1.500517
0.784045 1.500534
0.783261 1.500549
0.782477 1.500525
0.781695 1.500509
0.780913 1.500498
0.780132 1.500491
0.779352 1.500510
0.778573 1.500523
0.777794 1.500530
0.777017 1.500499
0.776240 1.500477
0.775463 1.500472
0.774688 1.500488
0.773913 1.500503
0.773139 1.500502
0.772366 1.500478
0.771594 1.500474
0.770822 1.500469
0.770051 1.500484
0.769281 1.500502
0.768512 1.500478
0.767743 1.500447
0.766976 1.500468
0.766209 1.500525
0.765443 1.500557
0.764677 1.500563
0.763912 1.500555
0.763148 1.500514
0.762385 1.500446
0.761623 1.500455
0.760861 1.500488
0.760100 1.500486
0.759340 1.500475
0.758581 1.500500
0.757822 1.500518
0.757065 1.500511
0.756308 1.500511
0.755551 1.500501
0.754796 1.500492
0.754041 1.500488
0.753287 1.500494
0.752534 1.500539
0.751781 1.500560
0.751029 1.500521
0.750278 1.500507
0.749528 1.500508
0.748778 1.500509
0.748030 1.500487
0.747282 1.500470
0.746534 1.500459
0.745788 1.500479
0.745042 1.500497
0.744297 1.500524
0.743553 1.500572
0.742809 1.500603
0.742066 1.500590
0.741324 1.500543
0.740583 1.500498
0.739842 1.500501
0.739102 1.500526
0.738363 1.500535
0.737625 1.500544
0.736887 1.500581
0.736151 1.500587
0.735414 1.500561
0.734679 1.500552
0.733944 1.500548
0.733210 1.500533
0.732477 1.500551
0.731745 1.500596
0.731013 1.500611
0.730282 1.500572
0.729552 1.500551
0.728822 1.500560
0.728093 1.500576
0.727365 1.500571
0.726638 1.500564
0.725911 1.500567
0.725185 1.500542
0.724460 1.500534
0.723736 1.500562
0.723012 1.500572
0.722289 1.500571
0.721567 1.500590
0.720845 1.500593
0.720124 1.500575
0.719404 1.500583
0.718685 1.500566
0.717966 1.500537
0.717248 1.500556
0.716531 1.500558
0.715814 1.500526
0.715098 1.500538
0.714383 1.500560
0.713669 1.500557
0.712955 1.500574
0.712242 1.500646
0.711530 1.500666
0.710818 1.500597
0.710108 1.500595
0.709398 1.500636
0.708688 1.500655
0.707979 1.500634
0.707271 1.500651
0.706564 1.500704
0.705858 1.500688
0.705152 1.500655
0.704447 1.500668
0.703742 1.500717
0.703038 1.500747
0.702335 1.500723
0.701633 1.500646
0.700931 1.500620
0.700231 1.500645
0.699530 1.500645
0.698831 1.500621
0.698132 1.500624
0.697434 1.500619
0.696736 1.500652
0.696040 1.500676
0.695344 1.500617
0.694648 1.500590
0.693954 1.500615
0.693260 1.500616
0.692566 1.500611
0.691874 1.500651
0.691182 1.500716
0.690491 1.500730
0.689800 1.500708
0.689110 1.500692
0.688421 1.500707
0.687733 1.500697
0.687045 1.500692
0.686358 1.500721
0.685672 1.500740
0.684986 1.500744
0.684301 1.500704
0.683617 1.500642
0.682933 1.500670
0.682250 1.500718
0.681568 1.500710
0.680886 1.500708
0.680206 1.500691
0.679525 1.500701
0.678846 1.500689
0.678167 1.500678
0.677489 1.500673
0.676811 1.500658
0.676135 1.500696
0.675458 1.500730
0.674783 1.500711
0.674108 1.500699
0.673434 1.500711
0.672761 1.500727
0.672088 1.500745
0.671416 1.500711
0.670744 1.500672
0.670074 1.500660
0.669404 1.500658
0.668734 1.500667
0.668065 1.500696
0.667397 1.500704
0.666730 1.500719
0.666063 1.500740
0.665397 1.500709
0.664732 1.500705
0.664067 1.500704
0.663403 1.500687
0.662740 1.500668
0.662077 1.500658
0.661415 1.500657
0.660753 1.500676
0.660093 1.500707
0.659432 1.500671
0.658773 1.500648
0.658114 1.500698
0.657456 1.500728
0.656799 1.500733
0.656142 1.500705
0.655486 1.500707
0.654830 1.500718
0.654175 1.500727
0.653521 1.500752
0.652868 1.500744
0.652215 1.500775
0.651563 1.500739
0.650911 1.500775
0.650260 1.500822
0.649610 1.500812
0.648960 1.500787
0.648311 1.500791
0.647663 1.500838
0.647015 1.500843
0.646368 1.500799
0.645722 1.500771
0.645076 1.500736
0.644431 1.500755
0.643787 1.500788
0.643143 1.500766
0.642500 1.500705
0.641857 1.500665
0.641215 1.500672
0.640574 1.500757
0.639934 1.500751
0.639294 1.500734
0.638654 1.500752
0.638016 1.500724
0.637378 1.500772
0.636740 1.500831
0.636104 1.500842
0.635468 1.500874
0.634832 1.500889
0.634197 1.500813
0.633563 1.500771
0.632930 1.500809
0.632297 1.500804
0.631664 1.500807
0.631033 1.500835
0.630402 1.500818
0.629771 1.500761
0.629141 1.500770
0.628512 1.500796
0.627884 1.500783
0.627256 1.500764
0.626629 1.500776
0.626002 1.500833
0.625376 1.500869
0.624751 1.500807
0.624126 1.500742
0.623502 1.500757
0.622878 1.500805
0.622255 1.500784
0.621633 1.500755
0.621011 1.500796
