T Cv
1.011909 1.500697
1.010897 1.500697
1.009886 1.500676
1.008876 1.500679
1.007867 1.500740
1.006859 1.500795
1.005852 1.500789
1.004847 1.500790
1.003842 1.500799
1.002838 1.500834
1.001835 1.500832
1.000833 1.500816
0.999832 1.500758
0.998833 1.500732
0.997834 1.500752
0.996836 1.500727
0.995839 1.500756
0.994843 1.500756
0.993848 1.500762
0.992855 1.500791
0.991862 1.500787
0.990870 1.500778
0.989879 1.500776
0.988889 1.500769
0.987900 1.500746
0.986912 1.500756
0.985925 1.500773
0.984939 1.500772
0.983955 1.500775
0.982971 1.500720
0.981988 1.500699
0.981006 1.500765
0.980025 1.500734
0.979045 1.500691
0.978066 1.500711
0.977087 1.500679
0.976110 1.500678
0.975134 1.500758
0.974159 1.500761
0.973185 1.500731
0.972212 1.500748
0.971240 1.500728
0.970268 1.500685
0.969298 1.500707
0.968329 1.500743
0.967360 1.500769
0.966393 1.500773
0.965427 1.500795
0.964461 1.500816
0.963497 1.500818
0.962533 1.500763
0.961571 1.500681
0.960609 1.500696
0.959649 1.500771
0.958689 1.500804
0.957730 1.500788
0.956773 1.500762
0.955816 1.500736
0.954860 1.500725
0.953905 1.500699
0.952951 1.500678
0.951998 1.500737
0.951046 1.500773
0.950095 1.500772
0.949145 1.500791
0.948196 1.500770
0.947248 1.500726
0.946301 1.500741
0.945354 1.500722
0.944409 1.500716
0.943464 1.500729
0.942521 1.500731
0.941578 1.500753
0.940637 1.500801
0.939696 1.500814
0.938757 1.500780
0.937818 1.500735
0.936880 1.500732
0.935943 1.500749
0.935007 1.500767
0.934072 1.500808
0.933138 1.500816
0.932205 1.500820
0.931273 1.500846
0.930341 1.500875
0.929411 1.500847
0.928482 1.500853
0.927553 1.500852
0.926626 1.500792
0.925699 1.500769
0.924773 1.500854
0.923849 1.500902
0.922925 1.500853
0.922002 1.500787
0.921080 1.500781
0.920159 1.500821
0.919239 1.500805
0.918319 1.500802
0.917401 1.500889
0.916484 1.500867
0.915567 1.500758
0.914652 1.500763
0.913737 1.500807
0.912823 1.500758
0.911910 1.500762
0.910998 1.500796
0.910087 1.500764
0.909177 1.500759
0.908268 1.500808
0.907360 1.500849
0.906453 1.500883
0.905546 1.500865
0.904641 1.500812
0.903736 1.500813
0.902832 1.500829
0.901929 1.500834
0.901027 1.500804
0.900126 1.500825
0.899226 1.500844
0.898327 1.500917
0.897429 1.500965
0.896531 1.500967
0.895635 1.500923
0.894739 1.500868
0.893844 1.500854
0.892951 1.500805
0.892058 1.500776
0.891166 1.500845
0.890274 1.500827
0.889384 1.500792
0.888495 1.500823
0.887606 1.500832
0.886719 1.500811
0.885832 1.500796
0.884946 1.500792
0.884061 1.500858
0.883177 1.500930
0.882294 1.500955
0.881412 1.500930
0.880530 1.500858
0.879650 1.500887
0.878770 1.500927
0.877891 1.500906
0.877013 1.500871
0.876136 1.500884
0.875260 1.500865
0.874385 1.500879
0.873511 1.500865
0.872637 1.500912
0.871764 1.500946
0.870893 1.500913
0.870022 1.500872
0.869152 1.500886
0.868283 1.500897
0.867414 1.500872
0.866547 1.500884
0.865680 1.500857
0.864815 1.500801
0.863950 1.500815
0.863086 1.500806
0.862223 1.500806
0.861361 1.500820
0.860499 1.500794
0.859639 1.500809
0.858779 1.500845
0.857920 1.500848
0.857062 1.500826
0.856205 1.500798
0.855349 1.500827
0.854494 1.500908
0.853639 1.500984
0.852786 1.500963
0.851933 1.500900
0.851081 1.500889
0.850230 1.500883
0.849380 1.500879
0.848530 1.500886
0.847682 1.500911
0.846834 1.500952
0.845987 1.500941
0.845141 1.500936
0.844296 1.500939
0.843452 1.500893
0.842608 1.500886
0.841766 1.500872
0.840924 1.500915
0.840083 1.500925
0.839243 1.500941
0.838404 1.500968
0.837565 1.500950
0.836728 1.500926
0.835891 1.500931
0.835055 1.500914
0.834220 1.500855
0.833386 1.500872
0.832552 1.500918
0.831720 1.500921
0.830888 1.500945
0.830057 1.500972
0.829227 1.500969
0.828398 1.500937
0.827570 1.500893
0.826742 1.500938
0.825915 1.500932
0.825089 1.500863
0.824264 1.500884
0.823440 1.500932
0.822617 1.500933
0.821794 1.500941
0.820972 1.501012
0.820151 1.501050
0.819331 1.501037
0.818512 1.501014
0.817693 1.500964
0.816875 1.500926
0.816059 1.500925
0.815243 1.500918
0.814427 1.500884
0.813613 1.500836
0.812799 1.500840
0.811986 1.500865
0.811174 1.500869
0.810363 1.500828
0.809553 1.500803
0.808743 1.500827
0.807935 1.500843
0.807127 1.500871
0.806320 1.500866
0.805513 1.500815
0.804708 1.500808
0.803903 1.500874
0.803099 1.500910
0.802296 1.500846
0.801494 1.500808
0.800692 1.500848
0.799892 1.500912
0.799092 1.500976
0.798293 1.500965
0.797494 1.500963
0.796697 1.500971
0.795900 1.500911
0.795104 1.500910
0.794309 1.500991
0.793515 1.500952
0.792721 1.500869
0.791929 1.500864
0.791137 1.500926
0.790345 1.500984
0.789555 1.500993
0.788766 1.500945
0.787977 1.500957
0.787189 1.500939
0.786402 1.500876
0.785615 1.500894
0.784830 1.500974
0.784045 1.501056
0.783261 1.501050
0.782477 1.500964
0.781695 1.500945
0.780913 1.500932
0.780132 1.500926
0.779352 1.500991
0.778573 1.501086
0.777794 1.501081
0.777017 1.501046
0.776240 1.501124
0.775463 1.501115
0.774688 1.501022
0.773913 1.500982
0.773139 1.501020
0.772366 1.500991
0.771594 1.500926
0.770822 1.500903
0.770051 1.500873
0.769281 1.500881
0.768512 1.500959
0.767743 1.500996
0.766976 1.500944
0.766209 1.500909
0.765443 1.500883
0.764677 1.500920
0.763912 1.500950
0.763148 1.500921
0.762385 1.500905
0.761623 1.500910
0.760861 1.500881
0.760100 1.500896
0.759340 1.500929
0.758581 1.500919
0.757822 1.500937
0.757065 1.500986
0.756308 1.500910
0.755551 1.500831
0.754796 1.500880
0.754041 1.500914
0.753287 1.500938
0.752534 1.500957
0.751781 1.500974
0.751029 1.500972
0.750278 1.500918
0.749528 1.500865
0.748778 1.500918
0.748030 1.501011
0.747282 1.501094
0.746534 1.501131
0.745788 1.501066
0.745042 1.501057
0.744297 1.501081
0.743553 1.501001
0.742809 1.500966
0.742066 1.501002
0.741324 1.501000
0.740583 1.500970
0.739842 1.500947
0.739102 1.500951
0.738363 1.500960
0.737625 1.500978
0.736887 1.500951
0.736151 1.500939
0.735414 1.500931
0.734679 1.500921
0.733944 1.500918
0.733210 1.500848
0.732477 1.500849
0.731745 1.500939
0.731013 1.500965
0.730282 1.500901
0.729552 1.500866
0.728822 1.500888
0.728093 1.500889
0.727365 1.500937
0.726638 1.500990
0.725911 1.500954
0.725185 1.500893
0.724460 1.500919
0.723736 1.500964
0.723012 1.501005
0.722289 1.500987
0.721567 1.500958
0.720845 1.500932
0.720124 1.500939
0.719404 1.500953
0.718685 1.500897
0.717966 1.500846
0.717248 1.500911
0.716531 1.500998
0.715814 1.501004
0.715098 1.500970
0.714383 1.500904
0.713669 1.500918
0.712955 1.500989
0.712242 1.500999
0.711530 1.501035
0.710818 1.501022
0.710108 1.500977
0.709398 1.500959
0.708688 1.500978
0.707979 1.500970
0.707271 1.500975
0.706564 1.500918
0.705858 1.500936
0.705152 1.500960
0.704447 1.500972
0.703742 1.500955
0.703038 1.500953
0.702335 1.500973
0.701633 1.501046
0.700931 1.501071
0.700231 1.501003
0.699530 1.501012
0.698831 1.501049
0.698132 1.501017
0.697434 1.500958
0.696736 1.501036
0.696040 1.501094
0.695344 1.501065
0.694648 1.501072
0.693954 1.501135
0.693260 1.501121
0.692566 1.501065
0.691874 1.501075
0.691182 1.501139
0.690491 1.501109
0.689800 1.500976
0.689110 1.500947
0.688421 1.500956
0.687733 1.500975
0.687045 1.501018
0.686358 1.500975
0.685672 1.500996
0.684986 1.501018
0.684301 1.500997
0.683617 1.500947
0.682933 1.500987
0.682250 1.501092
0.681568 1.501126
0.680886 1.501100
0.680206 1.501088
0.679525 1.501038
0.678846 1.501003
0.678167 1.501038
0.677489 1.501072
0.676811 1.501042
0.676135 1.500985
0.675458 1.500961
0.674783 1.500998
0.674108 1.501065
0.673434 1.501084
0.672761 1.501085
0.672088 1.501098
0.671416 1.501076
0.670744 1.501040
0.670074 1.501010
0.669404 1.501011
0.668734 1.501057
0.668065 1.501129
0.667397 1.501207
0.666730 1.501225
0.666063 1.501197
0.665397 1.501205
0.664732 1.501236
0.664067 1.501245
0.663403 1.501229
0.662740 1.501171
0.662077 1.501177
0.661415 1.501222
0.660753 1.501235
0.660093 1.501246
0.659432 1.501152
0.658773 1.501105
0.658114 1.501262
0.657456 1.501351
0.656799 1.501298
0.656142 1.501316
0.655486 1.501304
0.654830 1.501213
0.654175 1.501180
0.653521 1.501082
0.652868 1.501044
0.652215 1.501098
0.651563 1.501156
0.650911 1.501169
0.650260 1.501108
0.649610 1.501003
0.648960 1.501101
0.648311 1.501161
0.647663 1.501059
0.647015 1.501026
0.646368 1.501060
0.645722 1.501088
0.645076 1.501073
0.644431 1.501095
0.643787 1.501153
0.643143 1.501165
0.642500 1.501129
0.641857 1.501211
0.641215 1.501239
0.640574 1.501243
0.639934 1.501229
0.639294 1.501060
0.638654 1.501061
0.638016 1.501192
0.637378 1.501206
0.636740 1.501172
0.636104 1.501110
0.635468 1.501092
0.634832 1.501107
0.634197 1.501079
0.633563 1.501081
0.632930 1.501114
0.632297 1.501188
0.631664 1.501209
0.631033 1.501202
0.630402 1.501269
0.629771 1.501266
0.629141 1.501249
0.628512 1.501165
0.627884 1.501099
0.627256 1.501128
0.626629 1.501129
0.626002 1.501151
0.625376 1.501171
0.624751 1.501168
0.624126 1.501177
0.623502 1.501181
0.622878 1.501139
0.622255 1.501185
0.621633 1.501260
0.621011 1.501219
0.620390 1.501151
0.619770 1.501109
0.619150 1.501038
0.618531 1.501071
