pasos x w correlacion
718 0.067965 1.046845 1.708743
719 1.054353 0.574922 0.833139
720 0.877560 1.186224 0.390870
721 1.252419 0.670843 0.358536
722 0.590442 1.840368 2.273571
723 -0.031556 1.189833 1.170810
724 0.495041 0.885118 1.081076
725 0.461501 1.016170 0.837947
726 1.383984 0.426896 1.273189
727 1.514939 0.827113 0.998562
728 1.514939 0.790703 0.752725
729 1.332347 1.296860 0.700829
730 1.159337 1.240535 0.603449
731 1.159337 0.383320 0.367957
732 0.725578 1.505011 0.248023
733 0.958098 0.822222 0.361022
734 1.270211 0.706281 0.786358
735 1.270211 0.208514 5.453764
736 0.671957 1.787745 2.223834
737 0.353069 1.177548 0.807424
738 0.969878 0.664977 0.364655
739 0.180395 1.574694 0.494309
740 -0.265877 0.981107 3.137103
741 0.382611 0.962857 0.944213
742 0.005676 1.075923 2.140139
743 0.135044 0.990939 1.061829
744 1.125278 0.535793 0.659223
745 0.862239 1.298744 0.242078
746 0.631977 1.187714 0.176701
747 0.631977 0.466345 1.181889
748 0.418744 1.118540 0.343227
749 0.437025 0.992209 1.546805
750 0.653615 0.888598 0.070913
751 -0.179083 1.218439 2.623790
752 -0.763237 0.759397 2.073611
753 -1.128697 0.707716 0.729050
754 -0.870418 1.294551 0.193111
755 -1.711783 0.337467 0.383577
756 -1.711783 0.228104 0.509696
757 -1.061831 2.462948 1.189536
758 -0.073000 1.752560 0.507120
759 -0.858333 0.693709 0.573324
760 -1.329142 0.597536 1.387073
761 -1.176641 1.210541 0.845982
762 -1.176641 0.291793 0.860731
763 -1.176641 0.710792 1.507127
764 -1.133213 1.051435 3.742223
765 -1.527970 0.591401 1.490116
766 -1.906735 0.521799 1.055222
767 -1.377270 2.385441 0.775267
768 -1.377270 0.718894 0.478898
769 -0.928922 1.676968 0.875183
770 -0.928922 0.335205 1.675697
771 -0.422773 1.407873 1.407301
772 -0.147160 1.081707 1.313302
773 -0.197119 0.991437 0.800384
774 -0.366527 0.953379 1.248381
775 -0.680288 0.848551 0.574536
776 -0.680288 0.597605 0.316994
777 -1.371746 0.491916 1.230418
778 -2.007172 0.341801 0.445284
779 -2.007172 0.258359 1.916726
780 -2.336619 0.488935 1.250525
781 -2.332804 1.008946 0.572178
782 -1.714286 3.495933 0.301440
783 -0.888302 2.929546 1.231595
